_id,lesions,alpha,beta,mu,nu,gamma,delta,f3a,f3b,f4,f5,f7,tbp,tbtcso,bw,working
11,None,0.23895873971124,22.8892785496709,0.213067801000874,1.65750106113378,1.19874427399317,1.29212450112847,0.831172900647,0.957775282629,0.948542333042,0.41865227949,0.801953013649,0.796516064766,0.136193963273,0.823807105248,f
28,None,1.80058297359947,0.035525307320484,1.49573111999665,0.75725134019554,0.93908361196762,1.27793938658615,0.501449337008,0.973829325828,0.93717207269,0.659199395555,0.459721050904,0.789337693815,0.412115870688,0.8862427671,f
12,None,0.614459451993787,0.406019616194048,1.86050452627612,1.17618264553154,0.442482272392866,0.274005315590841,0.656372214875,0.931455425799,0.947095418219,0.652020263622,0.371537641405,0.789543971773,0.477540943357,0.88902070422,f
14,None,0.734306864428494,0.5538808211285,1.20796976664189,5.33983085793295,3.02490189120547,0.154728941900041,0.730531864068,0.0205097187637,0.879097930567,0.514187081601,0.218576693348,0.788175713684,0.0530442040916,0.888489806817,f
15,None,2.21584045963447,0.407005538169763,2.91203863071823,1.42554309940235,0.978587984129011,0.470075444441986,0.578484899351,0.880944273851,0.939510542976,0.6689920133,0.253243381518,0.780915194271,0.109616659735,0.860475223132,f
16,None,1.11950658942043,0.105934162179931,1.81421492267029,1.34003957799837,0.828917200178539,2.77623483290425,0.844730102469,0.836841810854,0.916068564566,0.466392982245,0.40331790136,0.793736448549,0.164598831999,0.877777457138,f
18,None,0.460710980711974,2.75401401704018,0.945036962855715,0.655532282431119,4.54527776419756,3.22129249997146,0.693860115355,0.868627347112,0.937459091533,0.512668729088,0.610420094798,0.79760921987,0.420716241654,0.870699430008,f
17,None,1.03961031580733,8.02174881003519,0.29988636458224,1.83504052490827,0.761780839115096,0.243955346279213,0.884878058157,0.972981040042,0.96126874701,0.537817728575,0.771986294736,0.79011267967,0.18823459061,0.850844548721,f
19,None,1.10698132347212,1.13237497618171,0.885597814216473,0.0215186640336136,0.894230505354059,0.66647437808435,0.512343411863,0.889010084062,0.939771711378,0.679751364045,0.495626129267,0.810404638023,-0.0862779565122,0.888693722384,f
21,None,0.517171907288279,15.166430172621,2.46100954105279,1.29070715052856,0.704417538988099,0.616179313176483,0.850719780851,0.972361986074,0.255433730422,0.457911835841,0.341385556248,0.801806130619,0.133411565167,0.886836208125,f
34,None,2.58805601713861,0.901157327186804,0.479222255001398,0.458787593650747,0.614981342957035,1.25446795680478,0.80383162967,0.893059995321,0.942367208508,0.660989536454,0.541813180484,0.813036848389,0.139196982741,0.856329925211,f
24,None,1.38886184492724,0.0761858348006543,0.612955383805765,1.12495849677908,2.12843094271347,8.659486151032,0.784856887869,-0.0330521970968,0.915656904234,0.3677406435,0.698142146967,0.796126984762,-0.0906696837716,0.875894051242,f
23,None,4.23030921750383,0.202494334667008,3.80726164888045,0.835756896434338,2.03261410262731,0.70985442304269,0.358698277843,0.879712314403,0.923928277212,0.693805983484,0.266752449307,0.771335234535,0.0161733492537,0.799503046892,f
39,None,1.31544463941571,6.08999270967299,1.57503768858994,9.8203190979475,0.765673147557502,1.56457726472269,0.733783449019,0.121136461647,0.923848419944,0.233012256359,0.38517228095,0.799201830129,0.464436346042,0.876414008277,f
30,None,0.920042909798764,1.1816985202879,1.75484546221781,0.346077850047935,0.672436040093485,0.825662200358547,0.633066531866,0.986258587653,0.925769977648,0.640860065562,0.441502376646,0.806305548907,0.425747814795,0.879735359498,f
